date,year,title,desc,link,item
05-22,1987,新西兰"幽灵鲸鱼"搁浅事件,54头领航鲸集体搁浅于Farewell Spit，当地毛利人称此前从未见过如此规模的搁浅。一些鲸鱼体内发现异常的声波损伤痕迹，引发关于海军声呐实验的猜测。,
05-22,2011,乔普林龙卷风,美国密苏里州乔普林市遭遇EF5级龙卷风，158人遇难。事后大量居民声称在风暴前看到"绿色天空"，气象学家至今无法完全解释该现象。,
05-22,,北纬30度之谜,北纬30度线贯穿百慕大三角、埃及金字塔、玛雅文明遗址、三星堆等多个未解之谜所在地。这一纬度上的异常地磁现象和神秘失踪事件至今无合理解释。,
05-06,1987,"5·6"大兴安岭特大火灾与费翔"预言",1987年春晚费翔演唱《冬天里的一把火》走红。同年5月6日大兴安岭发生新中国成立以来最严重的森林火灾，过火面积101万公顷，211人遇难。因歌曲走红与火灾时间接近，"一把火预言大火"的都市传说流传至今。,,4907f1b2
05-06,2021,三亚红衣女子坠楼,41岁红衣女子在海南三亚蓝色海岸小区25楼阳台外跳舞后坠亡，坠楼前已被目击者拍下视频。警方在房内发现遗书，但红衣、跳舞、坠楼的诡异组合引发"邪术""诅咒""神秘仪式"等猜测。,,6218ba72
05-07,2012,天涯"莹莹莲华"邪术事件,天涯用户"莹莹莲华"发帖称在公园被陌生人焚烧不明物体、摇铃铛、挥舞金属棒后，同行的几个孩子开始恍惚哭闹、高烧不退、举止古怪。网友怀疑遭遇"摄魂招阴童"巫术。五天后发帖者称受一位藏密背景人士帮助完成法事，孩子恢复。,,2d6a1724
05-18,1929,峨眉山三霄洞惨案,72名香客在峨眉山三霄洞内敲锣打鼓唱川剧《三霄大摆黄河阵》时，洞内突然传出巨响，黄绿色火焰从岩壁冲出，64人瞬间死亡。后经科学调查，系洞内狭窄缺氧、声浪震动引发瘴气爆炸所致。三霄洞随后被永久封闭。,,9bfa44fc
05-18,2009,长沙龚琪山庄命案,某化妆品公司女销售经理龚琪被发现陈尸于长沙玛依拉山庄公寓，全身赤裸、身中多刀、头部近乎被砍断。凶手用洗洁精与洗面奶清洗现场以破坏痕迹，财物分毫未失。死者最后一条短信内容为"窗户抖动"。至今未破。,,9caab8b3
05-21,2015,郑州二七广场墙缝女尸,郑州二七广场友谊商场工人在更换广告布时，意外在三楼墙缝中发现一具已开始腐化的女尸。警方调查发现死者可能从十楼宾馆坠落，但为何卡入墙缝、是否涉及他人，至今无明确结论。,,b5e254d0
05-30,1626,天启大爆炸,北京城西南隅王恭厂火药库附近发生大爆炸，半径约750米，死伤约两万人。史料记载爆炸后"死者皆裸"，衣物不知去向。成因至今无定论，与印度死丘事件、俄罗斯通古斯大爆炸并称世界三大自然之谜。,,7714e02a
05-31,2009,台北新庄枪击奇案,台北县新庄市一对夫妇骑摩托车返家途中遭不明人士连开数枪，丈夫身负重伤仍强撑骑行近一公里后倒地不治。案发一个月后，附近发现一块石板下压着装有符咒的红包袋。办案过程中甚至有警员掷筊寻找线索。至今悬而未决。,,eec0e232
